BUSINESS_NAME,BUSINESS_TYPE,Latitude,Longitude
BC Diner,Takeaway/sandwich shop,51.4522841511713,-2.5969884095632563
Be At One,Pub/bar/nightclub,51.455748650320686,-2.605281012006042
Be Natural Cafe,Restaurant/Cafe/Canteen,51.453935147873466,-2.592216881748474
Beach Hut Cafe,Restaurant/Cafe/Canteen,51.415874353306194,-2.5858300965407754
Beaconsfield Social Club,Pub/bar/nightclub,51.455453383708004,-2.555892343466508
Bear & Rugged Staff,Pub/bar/nightclub,51.49601085683364,-2.5976308325493656
Beckford Bar,Restaurant/Cafe/Canteen,51.4585880788483,-2.6019689588078254
Bedminster Cricket Club,Pub/bar/nightclub,51.44233701652131,-2.6266454261460646
Bedminster Down Ex Service Club,Pub/bar/nightclub,51.42470812594117,-2.6168362389292925
Bedminster Grill,Takeaway/sandwich shop,51.442346061907664,-2.5936348154145015
Beeses,Pub/bar/nightclub,51.443818405538394,-2.533967062402095
Beijing Chinese & Thai Takeaway,Takeaway/sandwich shop,51.45395709941846,-2.5254180038545933
Beijing Cooking Pot,Restaurant/Cafe/Canteen,51.45639485851617,-2.5964846091130824
Beijing Express,Takeaway/sandwich shop,51.43604683312098,-2.590789782811772
Beirut Mezze,Restaurant/Cafe/Canteen,51.45480826234817,-2.5938550200371018
Bella Italia,Restaurant/Cafe/Canteen,51.45278814088859,-2.5951812144194
Bella Vista Italian Restaurant Ltd,Restaurant/Cafe/Canteen,51.45271394526513,-2.588458497133532
Bengal Raj,Restaurant/Cafe/Canteen,51.480824678579,-2.633248641091219
Benji African Delicacies,Restaurant/Cafe/Canteen,51.441513085740546,-2.5962619855713456
Ben's Cookies,Restaurant/Cafe/Canteen,51.45794605842739,-2.5848881648065
Bento Boss,Restaurant/Cafe/Canteen,51.46390835298667,-2.6081245954193877
Bento House \ Bento House Chinese Take Away,Restaurant/Cafe/Canteen,51.46811421803215,-2.5908881371354235
Bertha's Pizza Ltd,Restaurant/Cafe/Canteen,51.44586537549657,-2.5982334740169444
Best Choice Kebab,Takeaway/sandwich shop,51.48623440216639,-2.5185863465077802
Best Choice Kebab & Pizza,Restaurant/Cafe/Canteen,51.48623440216639,-2.5185863465077802
Best Grill Kebab House,Takeaway/sandwich shop,51.49200445981101,-2.602116192862421
Best Kebab,Takeaway/sandwich shop,51.455912952658515,-2.579834531393136
Better Food,Restaurant/Cafe/Canteen,51.480463005997116,-2.587336489809502
BEYONDTASTEE,Restaurant/Cafe/Canteen,51.46190367775742,-2.5885484090126125
Biana Blue Salon,Takeaway/sandwich shop,51.4893454102079,-2.675881587926542
Bianchis,Restaurant/Cafe/Canteen,51.466095936007676,-2.5862699243600575
Biblos,Restaurant/Cafe/Canteen,51.44592738863066,-2.5985121047381994
Biblos - Mezze Bar,Restaurant/Cafe/Canteen,51.46189467699326,-2.5885484098432885
Big Bao,Takeaway/sandwich shop,51.45768429903083,-2.58702529429045
Big Bite,Takeaway/sandwich shop,51.464268854857494,-2.5883632414907516
