OBJECTID,LSOA21CD,LSOA21NM,LSOA21LN,IMDScore,IMDRank,IMDDecile,IMDpRank,IMDBrisRank,IMDBrisDecile,Income,IncomeRank,IncomeDecile,Employment,EmploymentRank,EmploymentDecile,EducationSkillsTrainingScore,EducationSkillsTrainingRank,EducationSkillsTrainingdecile,HealthDisabilityScore,HealthDisabilityRank,HealthDisabilityDecile,CrimeScore,CrimeRank,CrimeDecile,BarriersHousingServicesScore,BarriersHousingServicesRank,BarriersHousingServicesDecile,LivingEnvironmentScore,LivingEnvironmentRank,LivingEnvironmentDecile,IDACI,IDACIRank,IDACIDecile,IDAOPI,IDAOPIRank,IDAOPIDecile,SUBCYPScore,SUBCYPRank,SUBCYPDecile,SUBSkillsScore,SUBSkillsRank,SUBSkillsDecile,SUBGeogBarriersScore,SUBGeogBarriersRank,SUBGeogBarriersDecile,SUBWiderBarriersScore,SUBWiderBarriersRank,SUBWiderBarriersDecile,SUBIndoorsScore,SUBIndoorsRank,SUBIndoorsDecile,SUBOutdoorsScore,SUBOutdoorsRank,SUBOutdoorsDecile,POP2022Total,POP2022Children,POP2022Older,POP2022WAP,ShapeSTArea,ShapeSTLength
123,E01014616,Bristol 006A,Henleaze West,6.43,29265,9,86.7,233,9,6.2,30944,10,5.4,29591,9,0.7,33149,10,-0.8,27289,9,-0.9,28570,9,6.3,32808,10,41.7,4359,2,3,33510,10,11.4,20357,7,-1.4,32189,10,0.1,33201,10,22.8,26537,8,-1.9,24566,8,0.8,3965,2,0.4,9268,3,1544,271,463,880,379033.36023065,3102.90140169274
124,E01014617,Bristol 011B,West Broadway,1.3,33652,10,99.69,268,10,2.8,33422,10,2.8,33342,10,0.3,33597,10,-1.2,31178,10,-1.2,30988,10,5.9,33013,10,9.6,24146,8,2.4,33617,10,2.5,33160,10,-1.7,33048,10,0,33684,10,25.7,24048,8,-2.9,28258,9,-0.2,20345,7,-0.6,26576,8,1410,326,369,830,283379.124423425,3139.17501989698
125,E01014618,Bristol 011C,Henleaze North,2.41,33166,10,98.26,264,10,1.6,33699,10,3.4,32897,10,0.1,33737,10,-1.4,32036,10,-0.8,27734,9,4.9,33320,10,20.1,15224,5,2.3,33624,10,0.4,33753,10,-2.2,33673,10,0.1,33652,10,24.8,24885,8,-3.4,29650,9,0.2,11520,4,-0.3,21094,7,1654,357,572,826,324671.8401977,4384.18489508164
126,E01014619,Bristol 017A,North View,7.36,28233,9,83.64,224,9,5.5,31694,10,5.7,28909,9,0.6,33308,10,-1.2,30812,10,-0.8,27824,9,5.9,33004,10,50.2,2210,1,6.1,32487,10,4.2,31211,10,-1.8,33170,10,0.1,32667,10,19.4,28981,9,-1.7,23407,7,1,2425,1,0.6,7279,3,1494,243,412,925,297320.59269775,3268.5995557978
127,E01014620,Bristol 011D,Henleaze South,2.96,32757,10,97.04,260,10,3.2,33279,10,5.1,30294,9,0.5,33406,10,-1.5,32245,10,-1.2,31464,10,3.2,33625,10,23.5,12971,4,3.5,33391,10,3,32776,10,-1.7,32942,10,0.1,33190,10,19.9,28678,9,-3.5,29894,9,0.4,9414,3,-0.2,20279,7,1681,383,505,887,240346.64342745,2979.51363684802
128,E01014621,Bristol 017B,Westbury Park North,8.14,27296,9,80.87,217,9,7.9,28805,9,6.3,27396,9,0.8,33028,10,-0.4,22939,7,-0.9,29109,9,6.9,32523,10,44.6,3496,2,6.7,32210,10,11.4,20321,7,-1.3,31514,10,0.1,33592,10,18.1,29763,9,-1.1,20741,7,1,2568,1,0,15060,5,1520,324,311,968,144879.630423975,2617.14840494094
129,E01014622,Bristol 021A,Hillfields West,24.07,11723,4,34.73,94,4,25.5,11981,4,15.1,11140,4,21.7,13244,4,0.4,11506,4,0.5,10123,3,15.6,23336,7,39,5281,2,40,11981,4,19.8,13377,4,0.4,11167,4,0.2,14876,5,20.8,28093,9,1.4,10101,3,0.6,5840,2,0.7,5803,2,1805,361,307,1216,278551.06554855,3824.11653241756
130,E01014623,Bristol 021B,Mayfield Park,20.81,14063,5,41.66,122,5,21.8,14388,5,12.4,14624,5,25.3,11183,4,0.3,11851,4,0.4,11157,4,16.6,21944,7,28.3,10180,4,26.9,18519,6,28.9,8606,3,0.6,8523,3,0.2,13958,5,21.5,27567,9,1.6,9423,3,0.4,8779,3,0.2,11541,4,1816,386,317,1185,389046.100453625,4689.59266027527
131,E01014624,Bristol 018A,Lodge Hill,24.14,11663,4,34.55,93,4,28.4,10377,4,15.4,10896,4,38.9,5784,2,0.5,9237,3,0,16721,5,15.8,23115,7,12.8,21075,7,40.1,11964,4,24.1,10850,4,1,4458,2,0.3,7643,3,22.9,26467,8,1.3,10582,4,-0.1,17082,6,-0.5,25148,8,1790,398,310,1145,315925.0957039,3721.17959086888
132,E01014626,Bristol 021C,Speedwell,28.92,8827,3,26.15,75,3,32.8,8173,3,16.2,9975,3,32.2,8088,3,0.6,8660,3,1,4303,2,22.8,13378,4,13.4,20531,7,48.8,8457,3,32.4,7180,3,0.8,6194,2,0.3,10310,4,25.4,24361,8,2.9,6032,2,-0.2,20019,6,0,15871,5,2790,606,418,1870,715400.34118299,4469.20506697624
133,E01014627,Bristol 021D,Chester Park,18.59,15859,5,46.98,134,5,18.9,16524,5,10.5,17704,6,32.2,8063,3,0.1,14795,5,0.3,12355,4,16.1,22599,7,22.5,13576,5,31.4,16030,5,14.9,16858,5,1.1,4069,2,0.2,15280,5,22.4,26844,8,1.4,10093,3,0.2,11362,4,0,15295,5,2227,405,382,1509,314869.06663555,3672.95866285748
134,E01014629,Bristol 018D,Hillfields North,29.47,8528,3,25.26,73,3,34.1,7571,3,17.3,8929,3,40.5,5372,2,0.8,6088,2,0.5,9294,3,17.3,20920,7,12,21756,7,47,9131,3,26.5,9663,3,1,4220,2,0.3,6997,3,24.4,25283,8,1.6,9700,3,-0.1,18116,6,-0.5,24418,8,1540,340,240,1012,260716.89740475,3411.82689012225
135,E01014630,Bristol 005A,Sheridan Road,38.26,5077,2,15.04,36,2,39.7,5425,2,18.6,7752,3,44.8,4327,2,0.9,5646,2,1,4048,2,39.3,2327,1,7.9,26057,8,70.4,2270,1,61,1041,1,1.4,2232,1,0.3,8440,3,22.7,26682,8,6.1,973,1,-0.7,29451,9,0.1,14351,5,2196,390,286,1573,272814.164428325,2491.87435079356
136,E01014631,Bristol 004A,Monks Park,19.91,14792,5,43.82,126,5,18.4,16921,6,12.2,15006,5,9.5,23224,7,0.4,10705,4,0.5,10048,3,33.1,4784,2,14.1,19864,6,17.5,24860,8,25.9,9943,3,-0.5,24604,8,0.2,20036,6,24.2,25467,8,5,2103,1,-0.2,19164,6,0,15757,5,1237,199,332,777,489071.135182,4217.98414013287
137,E01014632,Bristol 004B,Filton Road,17.42,16901,6,50.07,143,6,19.7,15929,5,10.6,17662,6,12.6,20223,6,0.3,12680,4,-0.1,18530,6,31.1,5941,2,12.1,21737,7,27.7,18015,6,24.9,10448,4,0.2,13466,4,0.1,27692,9,23.1,26310,8,4.8,2493,1,-0.2,19704,6,-0.2,20040,6,2199,344,321,1616,415096.262034345,4007.77915353103
138,E01014633,Bristol 004C,Manor Farm,9.97,25013,8,74.1,198,8,11.6,23932,8,7.6,24136,8,7.5,25389,8,-0.5,24118,8,0.1,15112,5,20.2,16790,5,17.9,16833,5,17.5,24861,8,9.3,22878,7,-0.4,21989,7,0.2,26780,8,24.7,24960,8,2.3,7528,3,0.2,11997,4,-0.6,26527,8,1879,387,353,1219,368842.46280895,3589.67223732988
139,E01014634,Bristol 005B,Keys Avenue,9.02,26175,8,77.54,205,8,8.6,28013,9,4.7,31046,10,3.7,29723,9,-0.6,25509,8,-0.1,17908,6,26.5,9380,3,27.4,10711,4,16.6,25534,8,9.6,22509,7,-0.7,25981,8,0.1,31567,10,21.9,27286,9,4,3751,2,0.4,8644,3,0.1,13757,5,1816,222,217,1433,158734.34046115,2483.92704115747
140,E01014635,Bristol 010B,Wessex Avenue,9.55,25492,8,75.52,203,8,9.1,27299,9,5.4,29633,9,4.9,28312,9,-0.4,22508,7,0.3,12890,4,19.3,18031,6,30,9245,3,16.3,25811,8,7,26563,8,-0.5,23371,7,0.1,31501,10,23.2,26239,8,2.2,7757,3,0.4,8497,3,0.4,9645,3,2073,319,322,1506,250593.861878995,2666.74823458249
141,E01014636,Bristol 004D,Horfield Common,30.57,8010,3,23.73,68,3,29.6,9762,3,21.2,5865,2,29.2,9334,3,0.4,11178,4,1.1,3441,2,24.2,11796,4,18,16751,5,39,12390,4,20.2,13117,4,0.9,5765,2,0.2,14487,5,24.9,24845,8,3.3,5199,2,0,14983,5,0,15623,5,1632,369,328,1031,268849.828228175,3205.08584757817
142,E01014637,Bristol 010C,Wellington Hill,10.77,24059,8,71.28,192,8,5.7,31455,10,4.4,31616,10,1.1,32724,10,-0.2,20058,6,0.5,9934,3,12.8,27003,8,49.6,2339,1,4.4,33168,10,8.4,24232,8,-1.3,31517,10,0.1,32836,10,20.1,28565,9,0.7,12787,4,0.9,3279,1,0.9,4161,2,1652,183,264,1259,169384.510065675,2300.32067754047
143,E01014638,Bristol 003C,Lawrence Weston Parade,53.97,1733,1,5.13,18,1,45.2,3717,2,27.3,2728,1,71.4,524,1,1.6,1320,1,1.6,931,1,24.9,10993,4,15.6,18656,6,55.5,6066,2,41.3,4351,2,2.1,230,1,0.4,3064,1,32.5,17213,6,2.4,7156,3,-0.3,22453,7,0.4,8708,3,1885,406,391,1181,533016.407611175,5287.02401250146
144,E01014639,Bristol 003D,Lawrence Weston South,60.16,979,1,2.9,10,1,57.3,1243,1,35,799,1,72.1,477,1,1.2,3127,1,1.3,2351,1,28.4,7832,3,10.4,23418,7,73.9,1639,1,31.8,7407,3,1.8,601,1,0.4,1685,1,35.1,14646,5,2.8,6142,2,-0.4,24297,8,0,15788,5,1603,488,212,943,537759.864155125,5517.38023672589
145,E01014640,Bristol 003E,Lawrence Weston East,34.28,6434,2,19.06,55,3,36.1,6759,3,20.4,6431,2,49.8,3275,1,0.8,6145,2,0.7,6755,3,22,14472,5,10.7,23076,7,46.3,9392,3,30.5,7922,3,1.4,2037,1,0.3,5775,2,35.2,14532,5,1.2,11118,4,-0.3,22569,7,-0.1,17912,6,1651,429,257,1023,1054823.6434251,5696.48592595931
146,E01014641,Bristol 007A,Coombe Dingle East,14.04,20367,7,60.34,164,7,15.7,19412,6,11,16998,6,20.6,13947,5,-0.2,19675,6,0,16712,5,18.4,19338,6,10.2,23593,7,22.8,21090,7,12.2,19499,6,0.7,7081,3,0.2,25479,8,37.3,12549,4,-0.4,17805,6,-0.2,19586,6,-0.6,26846,8,1523,292,471,865,739922.213848025,6744.85642548228
147,E01014642,Bristol 007B,Coombe Dingle West,13.15,21282,7,63.05,172,7,15,20103,6,9.8,19102,6,12.6,20216,6,0,15895,5,0.1,15963,5,18.8,18671,6,12.3,21515,7,18.7,23970,8,14,17701,6,-0.2,19693,6,0.2,18968,6,35.7,14016,5,0.1,15313,5,-0.1,17661,6,-0.5,24981,8,1499,336,395,861,812539.831560475,5813.51227224369
148,E01014643,Bristol 007C,Sea Mills South,38.23,5086,2,15.07,37,2,36,6818,3,23.1,4715,2,48.1,3594,2,0.8,6649,2,1.2,2910,1,23.4,12673,4,22.2,13762,5,51.8,7367,3,27.7,9084,3,1.5,1726,1,0.3,7810,3,35.6,14111,5,1.4,10040,3,0.2,11897,4,0.1,14275,5,1416,281,342,890,1034478.5864352,5654.24658520638
149,E01014644,Bristol 007D,Sea Mills North,25.59,10730,4,31.79,89,4,29.1,9991,3,15.6,10678,4,41.4,5141,2,0.4,11418,4,0.6,8083,3,19.6,17621,6,6,28222,9,48.6,8525,3,21,12645,4,1.4,2261,1,0.3,11397,4,33.1,16606,5,0.9,12078,4,-0.6,27571,9,-0.4,22243,7,1684,369,342,1052,301952.59257705,3598.61948686083
150,E01014645,Bristol 042A,Red Lion Hill,18.61,15848,5,46.95,133,5,17.3,17855,6,13.1,13725,5,18.1,15741,5,0.3,11922,4,0.6,8007,3,11.4,28659,9,23.4,13033,4,20.7,22509,7,24,10924,4,0,16740,5,0.3,13719,5,24.2,25469,8,-0.1,16265,5,0.2,11205,4,0.1,13828,5,1663,231,434,1102,349352.66195012,4478.81651784989
151,E01014646,Bristol 042B,Knowle Park,23.05,12401,4,36.74,101,4,25.4,12047,4,16.2,10032,3,36.3,6593,2,0.3,11575,4,0.5,10224,4,11.1,29079,9,10.2,23609,7,35.1,14194,5,16.8,15351,5,0.8,6628,2,0.3,6604,2,25.1,24625,8,-0.3,17375,6,-0.2,20387,7,-0.5,24538,8,1804,345,415,1131,302317.06173355,3754.62068915873
152,E01014647,Bristol 044D,Ilminster Avenue East,43.8,3639,2,10.78,31,2,44.5,3913,2,23.9,4299,2,73.1,428,1,0.9,5824,2,1,3904,2,18,19871,6,9.7,24086,8,58.1,5280,2,36.2,5831,2,2.1,292,1,0.4,2326,1,26.3,23510,7,1.5,9773,3,-0.3,21742,7,-0.4,22602,7,1789,460,276,1115,245828.942241425,2842.85968321141
153,E01014648,Bristol 042C,Upper Knowle,12.9,21547,7,63.83,175,7,9.6,26609,8,8.2,22640,7,3.6,29926,9,-0.3,20290,7,0.3,12990,4,10.7,29505,9,50,2239,1,5.7,32644,10,17.5,14894,5,-0.9,28772,9,0.1,28922,9,20.6,28209,9,0,15712,5,1.1,1901,1,0.2,12227,4,1725,363,284,1133,360413.602453025,3977.88604172362
154,E01014649,Bristol 042D,Redcatch,8.96,26258,8,77.79,206,8,7.1,29979,9,8.1,22841,7,2.9,30653,10,-0.5,24368,8,-0.3,21719,7,8.8,31163,10,40.1,4892,2,5.2,32878,10,8,24720,8,-1,29208,9,0.1,30149,9,20.6,28236,9,-0.6,18467,6,0.8,3803,2,0.2,12866,4,1772,342,350,1180,233271.375025575,3760.63018134077
155,E01014650,Bristol 044E,Broadwalk,20.99,13938,5,41.29,118,5,20.2,15528,5,13.7,12901,4,35.5,6904,3,0.5,10258,4,0.5,10235,4,11.8,28273,9,12.1,21721,7,32.2,15623,5,15.9,16057,5,1,4706,2,0.3,9970,3,24.7,24975,8,-0.1,16092,5,-0.1,17136,6,-0.7,27656,9,1662,321,355,1053,243884.587666325,3390.32538353637
156,E01014651,Bristol 042E,Talbot Hill,7.31,28275,9,83.77,225,9,7.1,29891,9,5.1,30390,10,2.1,31670,10,-0.6,24437,8,-0.3,20759,7,7.8,32004,10,39.1,5251,2,10,30425,10,9.9,22148,7,-1,29392,9,0.1,32351,10,22.7,26642,8,-1.2,21557,7,0.9,3108,1,-0.4,22899,7,1784,345,302,1208,195196.28298251,2612.91884366377
157,E01014653,Bristol 055B,Easton Road,59.94,998,1,2.96,12,1,60.7,822,1,31.9,1371,1,53.3,2630,1,1.3,2634,1,1.4,1538,1,22.7,13558,5,45,3357,1,84.2,566,1,65.2,716,1,1.1,4001,2,0.4,2121,1,17.1,30298,9,3.4,4846,2,0.6,6381,2,1.4,1715,1,2748,740,269,1787,329393.346727675,4228.78578583419
158,E01014654,Bristol 056A,St Judes,46.92,2960,1,8.77,27,1,48.1,2982,1,24.1,4177,2,51.1,3030,1,0.8,6021,2,1.5,1123,1,20.3,16567,5,42.2,4186,2,67.2,2888,1,59.2,1210,1,1.1,3435,2,0.4,3104,1,16.8,30415,10,2.9,6027,2,0.5,7550,3,1.4,1798,1,2590,614,251,1765,378741.93130495,3745.86222498403
159,E01014655,Bristol 055C,Stapleton Road,42.43,3960,2,11.73,32,2,41.9,4706,2,22.2,5264,2,34.6,7224,3,0.9,5660,2,1.5,1206,1,15.9,22952,7,54,1562,1,69.4,2469,1,49.2,2607,1,1,4235,2,0.3,11951,4,16.6,30555,10,1.8,9030,3,1,2492,1,0.9,3795,2,2639,442,286,1991,180407.91577121,2701.87148864329
160,E01014658,Bristol 056B,St Philips,54.81,1621,1,4.8,16,1,61.6,721,1,30.7,1668,1,57.8,1915,1,1.3,2704,1,0.7,7233,3,24,12027,4,21.7,14138,5,73.3,1748,1,77.1,242,1,0.9,5093,2,0.5,950,1,19.1,29146,9,3.6,4461,2,0.2,12181,4,0,14723,5,2511,894,184,1428,784265.20581418,5280.55747829469
161,E01014659,Bristol 005C,Filton Avenue North,36.59,5595,2,16.58,46,2,39.7,5420,2,18.8,7633,3,40.5,5346,2,0.9,5153,2,0.8,5966,2,35.1,3840,2,11.1,22732,7,63.9,3681,2,57.5,1400,1,1.3,2695,1,0.3,10544,4,24.1,25494,8,5.4,1684,1,-0.3,21622,7,-0.2,18707,6,2188,396,248,1562,277250.08520015,3592.12294037986
162,E01014660,Bristol 014A,Lockleaze North,33.05,6922,3,20.51,63,3,30.8,9159,3,19.4,7080,3,37.8,6099,2,1.1,4009,2,0.8,6036,2,30,6588,2,4.3,30271,9,42.2,11032,4,34.3,6477,2,1.1,3593,2,0.3,10356,4,31.5,18223,6,3.8,4174,2,-0.6,27875,9,-0.7,27900,9,2233,445,443,1454,1279533.61510511,8778.66567177332
163,E01014661,Bristol 005D,Filton Avenue South,27.75,9443,3,27.98,80,3,31.9,8629,3,15.7,10504,4,38,6036,2,0.4,10322,4,0.4,11366,4,26.6,9374,3,16,18293,6,58.1,5281,2,27,9416,3,1.2,3328,1,0.3,10912,4,28.1,21753,7,3.5,4791,2,-0.1,18279,6,0.1,13290,4,1795,311,373,1194,367115.806188075,4328.27309415053
164,E01014662,Bristol 010D,Horfield Sports Ground,17.07,17202,6,50.96,146,6,22.4,13976,5,10.1,18534,6,17.2,16407,5,0.4,11228,4,-0.2,19077,6,15.5,23550,7,24.1,12635,4,31,16262,5,24.8,10469,4,0.3,11668,4,0.2,21287,7,25.4,24351,8,1,11844,4,0.1,13513,5,0.5,8028,3,1686,382,205,1146,420380.53608271,3744.60263675546
165,E01014663,Bristol 014B,Lockleaze South,37.01,5451,2,16.15,43,2,38.3,5935,2,22.3,5186,2,43.3,4673,2,0.9,5927,2,1,3748,2,26.5,9458,3,9.8,23951,8,49.5,8220,3,36.2,5839,2,1.2,3109,1,0.3,7221,3,32.2,17497,6,2.8,6086,2,-0.2,20073,6,-0.6,26706,8,1627,377,252,1028,381990.055755125,4102.07109162635
166,E01014664,Bristol 014C,Muller Road,31.11,7758,3,22.98,66,3,32,8542,3,15.2,11093,4,25.4,11147,4,0.9,5268,2,1.4,1684,1,22.6,13728,5,21.7,14118,5,42.8,10789,4,29.6,8251,3,0.7,7222,3,0.2,16298,5,28.8,21047,7,2.4,7207,3,0.1,14695,5,0.4,9449,3,1741,364,302,1136,778247.85640735,5860.38828205201
167,E01014665,Bristol 014D,Eastgate,19.83,14852,5,44,127,5,19.3,16226,5,10.6,17645,6,22.4,12801,4,-0.2,18685,6,0.7,7571,3,14.9,24356,8,42.2,4200,2,34.6,14439,5,12.3,19373,6,0.7,7785,3,0.2,19820,6,23.7,25851,8,1,11763,4,0.5,6996,3,1.2,2219,1,2189,413,368,1497,770277.1878751,4698.30528634286
168,E01014666,Bristol 017C,Cranbrook Road,2.77,32903,10,97.48,261,10,3.5,33139,10,3.9,32339,10,0.7,33143,10,-1.2,30823,10,-1.4,32420,10,3.4,33604,10,23.8,12781,4,1.6,33710,10,9.8,22229,7,-1.3,31718,10,0,33680,10,20.8,28081,9,-3.5,29988,9,0.3,10060,3,-0.1,16622,5,1919,435,355,1202,338533.351578925,3155.02872931851
169,E01014667,Bristol 017D,Westbury Park South,4.33,31571,10,93.53,254,10,3.6,33099,10,2.5,33495,10,0.3,33526,10,-1.1,30220,9,-1.4,32335,10,6.2,32859,10,38,5683,2,3.1,33479,10,5.4,29332,9,-1.6,32869,10,0.1,33639,10,19.2,29107,9,-1.5,22635,7,0.8,4382,2,0.1,12995,4,1704,328,241,1184,217222.222632475,3132.78313513607
170,E01014668,Bristol 020C,Berkeley Road South,5.93,29844,9,88.41,243,10,3.2,33266,10,2.9,33292,10,0.2,33621,10,-1.2,31110,10,-0.2,19812,6,7.3,32264,10,42.4,4131,2,2.7,33556,10,5.5,29181,9,-1.8,33230,10,0.1,33620,10,17.4,30135,9,-0.9,19775,6,0.9,2952,1,0,15736,5,1638,287,273,1167,172133.421496725,2369.15904879683
171,E01014669,Bristol 020D,Redland Court Road,5.9,29880,9,88.52,244,10,5.8,31310,10,4.4,31555,10,1.5,32317,10,-0.9,28110,9,-0.8,28039,9,8.3,31591,10,39.9,4972,2,9.1,30999,10,6,28312,9,-1,29642,9,0,33730,10,17.3,30209,9,-0.5,18082,6,0.9,2728,1,-0.6,26741,8,1641,238,198,1263,214256.190797625,2506.1889176021
172,E01014670,Bristol 020E,Zetland Road,10.45,24440,8,72.4,193,8,3.7,33031,10,4.8,30947,10,0.4,33453,10,-0.4,22947,7,0,16439,5,6.3,32817,10,60.9,787,1,1.9,33669,10,4.1,31410,10,-1.6,32676,10,0.1,33608,10,17,30331,9,-1.2,21516,7,1.3,907,1,0.4,9025,3,1543,217,214,1160,139863.098399945,2684.12066076426
173,E01014671,Bristol 020F,St Andrews Park,13.9,20515,7,60.78,168,7,6.5,30613,10,4.7,31183,10,0.9,32981,10,-0.2,20083,6,0.9,4671,2,12.2,27826,9,59.2,937,1,4.5,33149,10,18.1,14478,5,-1.3,31321,10,0,33711,10,16.6,30564,10,0.7,12659,4,1.2,1135,1,0.5,8031,3,1738,224,224,1364,185523.2320568,2710.39394702014
174,E01014672,Bristol 017E,Manor Park,5.99,29759,9,88.16,242,9,6.1,31022,10,4.6,31243,10,1.1,32715,10,-0.5,23975,8,-0.9,28284,9,9.5,30633,10,36.2,6397,2,6.5,32277,10,8.5,24067,8,-1.2,30830,10,0.1,33531,10,17,30365,9,-0.1,16223,5,0.8,4414,2,-0.1,16647,5,2183,230,494,1528,267615.551037225,3484.54934517791
175,E01014673,Bristol 027A,Two Mile Hill East,22.02,13134,4,38.91,110,5,22,14236,5,12,15260,5,26.4,10647,4,0.5,9400,3,0.5,9090,3,15.7,23224,7,30.3,9124,3,35.4,14046,5,23,11449,4,0.7,7127,3,0.2,15144,5,19.9,28663,9,1.5,9819,3,0.5,7503,3,0.2,12375,4,1929,331,352,1358,226466.4056924,2756.77790603516
176,E01014675,Bristol 027C,Two Mile Hill West,18.22,16174,5,47.92,139,6,18,17242,6,9.5,19698,6,20.4,14063,5,0.2,12836,4,0.5,9813,3,15.6,23379,7,33.6,7521,3,25.3,19506,6,17.8,14680,5,0.3,12539,4,0.2,14832,5,20.4,28371,9,1.5,10027,3,0.6,6014,2,0.2,12310,4,1738,315,318,1209,243286.016047625,4455.37189949756
177,E01014676,Bristol 027D,Kingsway,22.45,12840,4,38.04,106,4,22.9,13621,5,15.5,10734,4,28.5,9622,3,0.5,9354,3,0.3,12040,4,15.4,23690,8,18.1,16684,5,32.6,15433,5,23.7,11054,4,0.9,5510,2,0.2,16048,5,24.6,25047,8,1,11621,4,0.1,12924,4,-0.3,21697,7,1549,283,396,977,238606.205297175,3765.39725017698
178,E01014677,Bristol 033A,Crews Hole,8.74,26528,8,78.59,208,8,11.1,24492,8,5.6,29021,9,7.5,25340,8,-0.4,22421,7,-0.3,21752,7,22.9,13342,4,16.6,17848,6,18.8,23932,8,6.7,27023,9,-0.4,22569,7,0.2,26002,8,36.4,13422,4,1.2,11111,4,0.1,14242,5,-0.3,21737,7,1527,255,278,1078,483693.87043781,5170.8157471031
179,E01014678,Bristol 033B,Nags Head Hill,15.28,19007,6,56.31,156,6,14.6,20573,7,11.6,15843,5,15.1,18068,6,0,16622,5,0,16327,5,13.6,25968,8,30.8,8877,3,16.9,25325,8,11.3,20498,7,0.1,15019,5,0.2,19918,6,26.9,22959,7,0.2,14816,5,0.5,7336,3,0.2,12065,4,1690,283,360,1108,229626.831025935,4595.47356997771
180,E01014679,Bristol 033C,Bryants Hill,12.38,22154,7,65.63,179,7,11.6,23923,8,8.4,22034,7,24.4,11699,4,-0.2,18675,6,-0.2,19871,6,12.5,27400,9,22.2,13778,5,13,28257,9,10.6,21288,7,0.5,9103,3,0.2,14256,5,27.4,22507,7,-0.2,16750,5,0.3,10376,4,-0.2,19650,6,1610,262,404,1043,301187.282866625,3811.61536281402
181,E01014680,Bristol 033D,Conham Valley,8.62,26682,8,79.05,210,8,8.6,27958,9,7.5,24380,8,15.8,17463,6,-0.2,19995,6,-0.8,27344,9,13.3,26437,8,17.6,17045,6,14.8,26946,8,5.3,29517,9,0.3,12517,4,0.2,22384,7,33,16695,5,-1.1,21100,7,0.2,11225,4,-1.2,32307,10,1315,213,333,831,354831.668978,3803.50808309559
182,E01014681,Bristol 029D,Redfield,23.7,11995,4,35.54,99,4,20.7,15157,5,12.3,14748,5,22.8,12586,4,0.4,10398,4,0.8,5441,2,16.1,22635,7,42.1,4220,2,30.5,16500,5,31,7689,3,0.9,5822,2,0.2,25313,8,19.2,29090,9,1.7,9313,3,0.7,5012,2,0.8,5104,2,2576,417,356,1870,361234.897074295,4136.8696623107
183,E01014682,Bristol 028A,West St George,20.54,14305,5,42.38,125,5,18.8,16627,5,10.7,17423,6,14.5,18495,6,0.4,11110,4,1,3887,2,13.8,25711,8,35.7,6586,2,33.3,15096,5,12.7,18987,6,0.2,13567,5,0.2,23117,7,23.4,26097,8,0.7,12784,4,0.6,5968,2,0.4,9123,3,1740,298,318,1173,262698.21852035,4392.9963139753
184,E01014683,Bristol 028B,Clouds Hill,27.73,9460,3,28.03,81,3,27.8,10684,4,16.9,9305,3,20,14338,5,0.9,5950,2,0.8,6082,2,17,21362,7,33.6,7560,3,31.2,16117,5,46,3236,1,0.4,10705,4,0.2,17953,6,22.1,27105,9,1.7,9265,3,0.5,7012,3,0.4,8790,3,1869,273,368,1330,185727.2264914,3244.48778927324
185,E01014684,Bristol 029E,St Georges Park,23.01,12442,4,36.86,103,4,19.5,16057,5,12.3,14831,5,12.6,20203,6,0.7,7649,3,1.1,3431,2,13,26755,8,39.4,5147,2,35.4,14030,5,27.3,9275,3,0.3,12212,4,0.1,30394,10,19.9,28659,9,0.8,12540,4,0.7,4924,2,0.5,8096,3,1951,280,208,1502,365471.98194349,3405.50357625874
186,E01014685,Bristol 028C,Whiteway,33.61,6711,2,19.88,61,3,35.3,7094,3,20,6645,2,50,3224,1,0.9,5544,2,0.4,11239,4,21.9,14522,5,15.3,18849,6,52,7306,3,33.3,6843,3,1.3,2782,1,0.4,4232,2,25.8,24020,8,2.6,6660,2,0.1,13819,5,-0.7,28160,9,1665,349,238,1118,214715.685939175,2469.16183841551
187,E01014686,Bristol 028D,Plummers Hill,18.62,15831,5,46.9,132,5,20.9,14988,5,13.5,13102,4,22.9,12511,4,0.4,11193,4,0,16829,5,13.4,26283,8,16.8,17659,6,24,20355,7,22.9,11516,4,0.5,9217,3,0.2,16042,5,23.7,25813,8,0.5,13471,4,0,15338,5,-0.1,17729,6,1874,353,341,1250,270562.77977866,3101.35899950924
188,E01014687,Bristol 028E,East St George,22.99,12462,4,36.92,104,4,21.9,14351,5,12.9,13985,5,23.8,11992,4,0.7,7943,3,0.5,9467,3,18,19888,6,32,8310,3,39.3,12276,4,18.3,14364,5,0.6,8377,3,0.2,16250,5,23.3,26182,8,1.9,8756,3,0.5,7106,3,0.3,10808,4,1562,229,293,1123,223104.350760615,2362.95044055255
189,E01014688,Bristol 002A,Trymside,38.15,5104,2,15.12,38,2,39.1,5620,2,20.1,6626,2,51.9,2871,1,0.7,7023,3,1,4026,2,31.5,5694,2,13.2,20648,7,56,5924,2,33,6941,3,1.3,2617,1,0.4,3734,2,24.2,25424,8,4.8,2481,1,-0.1,17436,6,-0.4,22336,7,1899,449,264,1217,246388.1364661,2795.39162819405
