OBJECTID,LSOA21CD,LSOA21NM,LSOA21LN,IMDScore,IMDRank,IMDDecile,IMDpRank,IMDBrisRank,IMDBrisDecile,Income,IncomeRank,IncomeDecile,Employment,EmploymentRank,EmploymentDecile,EducationSkillsTrainingScore,EducationSkillsTrainingRank,EducationSkillsTrainingdecile,HealthDisabilityScore,HealthDisabilityRank,HealthDisabilityDecile,CrimeScore,CrimeRank,CrimeDecile,BarriersHousingServicesScore,BarriersHousingServicesRank,BarriersHousingServicesDecile,LivingEnvironmentScore,LivingEnvironmentRank,LivingEnvironmentDecile,IDACI,IDACIRank,IDACIDecile,IDAOPI,IDAOPIRank,IDAOPIDecile,SUBCYPScore,SUBCYPRank,SUBCYPDecile,SUBSkillsScore,SUBSkillsRank,SUBSkillsDecile,SUBGeogBarriersScore,SUBGeogBarriersRank,SUBGeogBarriersDecile,SUBWiderBarriersScore,SUBWiderBarriersRank,SUBWiderBarriersDecile,SUBIndoorsScore,SUBIndoorsRank,SUBIndoorsDecile,SUBOutdoorsScore,SUBOutdoorsRank,SUBOutdoorsDecile,POP2022Total,POP2022Children,POP2022Older,POP2022WAP,ShapeSTArea,ShapeSTLength
24,E01014511,Bristol 016D,Bishop Road,6.38,29323,9,86.87,235,9,5.1,32046,10,4.5,31456,10,0.3,33603,10,-0.4,22348,7,-0.6,24907,8,8.5,31395,10,38.1,5656,2,5.1,32909,10,6.5,27360,9,-1.7,33052,10,0,33723,10,18.6,29477,9,-0.5,18148,6,0.8,3946,2,0,16148,5,1432,328,179,991,121444.837923725,1887.15636432204
25,E01014512,Bristol 016E,Somerville Road,8.07,27359,9,81.05,219,9,9.4,26952,8,5.6,29175,9,1.6,32207,10,-0.6,24678,8,-0.4,21967,7,8.8,31182,10,40.3,4807,2,5.5,32749,10,20.5,12957,4,-1,29637,9,0.1,33446,10,17.8,29901,9,-0.4,17468,6,0.8,3571,2,0.1,14241,5,1534,269,319,1039,177389.340549975,3232.19185665311
26,E01014513,Bristol 016F,St Bonaventures,3.25,32517,10,96.33,258,10,3.2,33281,10,2.8,33348,10,0.1,33734,10,-0.9,28399,9,-1.1,30593,10,4.6,33389,10,27,10955,4,1.9,33674,10,3.9,31637,10,-2.2,33632,10,0,33686,10,20.6,28226,9,-2.5,26845,8,0.5,7300,3,-0.3,21505,7,1627,359,346,1027,364824.90856275,3928.58793159961
27,E01014514,Bristol 016G,Radnor Road,15.75,18509,6,54.83,154,6,7.9,28923,9,8.2,22488,7,3.9,29549,9,1,4495,2,0.4,11359,4,12.4,27473,9,38.6,5444,2,10.6,30025,9,9.1,23120,7,-0.6,24931,8,0.1,32470,10,19.6,28893,9,0.6,13074,4,0.7,4880,2,0.4,9318,3,2251,324,218,1772,248302.43178475,3864.96233587837
28,E01014515,Bristol 050A,Highridge Common,33.55,6737,2,19.96,62,3,29.8,9630,3,19.3,7210,3,57.8,1918,1,0.8,5981,2,0.9,4634,2,10.5,29663,9,19.6,15558,5,47,9141,3,22.5,11746,4,1.6,1171,1,0.4,4339,2,30.3,19494,6,-1.6,23088,7,0.1,13972,5,0.1,14442,5,1518,289,396,915,321541.40649425,3639.74069613838
29,E01014516,Bristol 050B,Four Acres,63.44,693,1,2.05,7,1,57,1299,1,34.9,813,1,77.1,247,1,1.9,469,1,1.4,1862,1,16.2,22503,7,11.9,21870,7,76.2,1293,1,45.5,3334,1,2.7,18,1,0.4,2682,1,32.4,17306,6,0,15656,5,-0.1,16835,5,-0.8,29436,9,1491,389,274,894,248638.72873801,3456.40856039374
30,E01014517,Bristol 050C,Sherrin Way,48.89,2549,1,7.55,23,1,49.1,2714,1,26.2,3137,1,76.9,256,1,1.3,2597,1,0.8,6254,2,20.6,16283,5,4.6,29904,9,64.1,3647,2,41.3,4354,2,2.2,163,1,0.4,1979,1,35.9,13831,5,0.6,13266,4,-0.4,25225,8,-1.7,33611,10,1299,355,196,810,283561.9175444,2799.17099033819
31,E01014518,Bristol 046A,Ilchester Crescent,13.97,20441,7,60.56,167,7,15.5,19614,6,9.6,19596,6,16.6,16867,5,0.1,15143,5,0.1,15969,5,11.3,28799,9,23.2,13104,4,25.7,19216,6,13.3,18365,6,0.3,12485,4,0.2,20997,7,26,23773,8,-0.4,17627,6,0.2,11203,4,0.1,14135,5,1797,321,288,1263,537418.011028335,4300.71444306126
32,E01014519,Bristol 046B,Bedminster Down,18.3,16092,5,47.67,137,6,20.8,15118,5,12.5,14490,5,34.2,7347,3,0.1,14289,5,-0.3,21124,7,10,30166,9,18.3,16525,5,27.1,18351,6,18.3,14393,5,0.9,4970,2,0.3,10615,4,26.9,22906,7,-1,20574,7,0.1,13987,5,-0.1,17561,6,1391,263,377,828,540048.65276919,5709.55293518133
33,E01014520,Bristol 046C,Bridgwater Road,6.92,28729,9,85.11,230,9,8.9,27527,9,7,25684,8,18.8,15208,5,-0.8,27435,9,-0.9,28648,9,7.7,32031,10,12.5,21342,7,15.7,26258,8,4.5,30783,10,0.2,14180,5,0.2,15139,5,29.8,20032,6,-3.1,28770,9,-0.1,17457,6,-0.5,24978,8,1695,276,568,967,951681.9769572,5448.40019557162
34,E01014521,Bristol 046D,Kings Head Park,16.28,17960,6,53.21,150,6,16.3,18808,6,11.5,15948,5,24.1,11839,4,0.3,12248,4,0.3,11806,4,7.9,31889,10,12.1,21732,7,25.5,19343,6,9.5,22632,7,0.6,8761,3,0.2,15151,5,27.3,22544,7,-2.1,25132,8,-0.1,17107,6,-0.7,27799,9,1436,296,356,872,357500.4194528,4271.51081652512
35,E01014522,Bristol 050D,Highridge,36.69,5564,2,16.48,44,2,35.3,7064,3,21.7,5533,2,59.9,1597,1,1,4543,2,0.9,4658,2,13.1,26674,8,7.5,26563,8,50.6,7810,3,22.1,11989,4,2.1,285,1,0.3,8364,3,29.6,20267,7,-0.4,17689,6,-0.3,21978,7,-0.9,30518,10,1863,444,345,1161,322820.6801405,3469.67514992319
36,E01014523,Bristol 038A,Allison Road,17.3,17006,6,50.38,145,6,18.3,16974,6,13.4,13285,4,16.3,17044,6,0.5,9095,3,0.1,15329,5,13,26738,8,11.7,22117,7,27.7,18034,6,11.9,19848,6,-0.2,19264,6,0.2,13888,5,31.4,18339,6,-0.8,19636,6,-0.2,19853,6,-0.3,20822,7,1649,301,366,1060,596893.8384383,5345.99037424426
37,E01014524,Bristol 038B,Birchwood Road,14.46,19911,6,58.99,160,6,13,22294,7,10,18744,6,26.2,10759,4,0,16612,5,0.2,14324,5,13.9,25605,8,16.7,17735,6,19.6,23332,7,14.2,17476,6,0.6,7999,3,0.2,13778,5,34.5,15233,5,-1.3,21779,7,0,14761,5,-0.2,19595,6,1656,344,363,1031,314444.859849875,3164.39853140491
38,E01014525,Bristol 038C,Manworthy Road,8.34,27063,9,80.17,213,8,10.4,25515,8,7,25686,8,7,25976,8,-0.3,21522,7,-0.6,24990,8,10.2,29926,9,27.9,10428,4,13.4,28024,9,9.9,22160,7,-0.5,23567,7,0.2,26156,8,24.8,24916,8,-0.6,18481,6,0.6,6310,2,-0.6,25906,8,1631,308,282,1113,183316.39584413,2924.35803082211
39,E01014526,Bristol 038D,Broomhill Road,35.6,5945,2,17.61,50,2,38.7,5795,2,22.3,5140,2,54.9,2357,1,0.6,8347,3,0.4,10877,4,21.4,15123,5,16.9,17592,6,61.7,4253,2,18.3,14367,5,1.6,1180,1,0.3,5662,2,37.7,12187,4,0.4,13900,5,0,15737,5,-0.1,16464,5,1617,347,315,1025,1619744.53483813,9814.19131570568
